vol age siteclass species area
6 7 SE11 BT 0
7 7 SE11 BT 0
8 7 SE11 BT 0
9 7 SE11 BT 952.38
10 7 SE11 BT 0
11 7 SE11 BT 0
12 7 SE11 BT 0
13 7 SE11 BT 0
14 7 SE11 BT 0
15 7 SE11 BT 0
16 7 SE11 BT 0
17 7 SE11 BT 0
1 8 SE11 BT 0
2 8 SE11 BT 0
3 8 SE11 BT 0
4 8 SE11 BT 0
5 8 SE11 BT 0
6 8 SE11 BT 0
7 8 SE11 BT 0
8 8 SE11 BT 0
9 8 SE11 BT 0
10 8 SE11 BT 952.38
11 8 SE11 BT 0
12 8 SE11 BT 0
13 8 SE11 BT 0
14 8 SE11 BT 0
15 8 SE11 BT 0
16 8 SE11 BT 0
17 8 SE11 BT 0
1 9 SE11 BT 0
2 9 SE11 BT 0
3 9 SE11 BT 0
4 9 SE11 BT 0
5 9 SE11 BT 0
6 9 SE11 BT 0
7 9 SE11 BT 0
8 9 SE11 BT 0
9 9 SE11 BT 0
10 9 SE11 BT 391.73
11 9 SE11 BT 0
12 9 SE11 BT 0
13 9 SE11 BT 0
14 9 SE11 BT 0
15 9 SE11 BT 0
16 9 SE11 BT 0
17 9 SE11 BT 0
1 10 SE11 BT 0
2 10 SE11 BT 0
3 10 SE11 BT 0
4 10 SE11 BT 0
5 10 SE11 BT 0
6 10 SE11 BT 0
7 10 SE11 BT 0
8 10 SE11 BT 0
9 10 SE11 BT 0
10 10 SE11 BT 0
11 10 SE11 BT 391.73
12 10 SE11 BT 0
13 10 SE11 BT 0
14 10 SE11 BT 0
15 10 SE11 BT 0
16 10 SE11 BT 0
17 10 SE11 BT 0
1 11 SE11 BT 0
2 11 SE11 BT 0
3 11 SE11 BT 0
4 11 SE11 BT 0
5 11 SE11 BT 0
6 11 SE11 BT 0
7 11 SE11 BT 0
8 11 SE11 BT 0
9 11 SE11 BT 0
10 11 SE11 BT 0
11 11 SE11 BT 0
12 11 SE11 BT 28.03
13 11 SE11 BT 0
14 11 SE11 BT 0
15 11 SE11 BT 0
16 11 SE11 BT 0
17 11 SE11 BT 0
1 12 SE11 BT 0
2 12 SE11 BT 0
3 12 SE11 BT 0
4 12 SE11 BT 0
5 12 SE11 BT 0
6 12 SE11 BT 0
7 12 SE11 BT 0
8 12 SE11 BT 0
9 12 SE11 BT 0
10 12 SE11 BT 0
11 12 SE11 BT 0
12 12 SE11 BT 0
13 12 SE11 BT 28.03
14 12 SE11 BT 0
15 12 SE11 BT 0
16 12 SE11 BT 0
17 12 SE11 BT 0
1 13 SE11 BT 0
2 13 SE11 BT 0
3 13 SE11 BT 0
4 13 SE11 BT 0
5 13 SE11 BT 0
6 13 SE11 BT 0
7 13 SE11 BT 0
8 13 SE11 BT 0
9 13 SE11 BT 0
10 13 SE11 BT 0
11 13 SE11 BT 0
12 13 SE11 BT 0
13 13 SE11 BT 0
14 13 SE11 BT 21.8
15 13 SE11 BT 0
16 13 SE11 BT 0
17 13 SE11 BT 0
1 14 SE11 BT 0
2 14 SE11 BT 0
3 14 SE11 BT 0
4 14 SE11 BT 0
5 14 SE11 BT 0
6 14 SE11 BT 0
7 14 SE11 BT 0
8 14 SE11 BT 0
9 14 SE11 BT 0
10 14 SE11 BT 0
11 14 SE11 BT 0
12 14 SE11 BT 0
13 14 SE11 BT 0
14 14 SE11 BT 21.8
15 14 SE11 BT 0
16 14 SE11 BT 0
17 14 SE11 BT 0
1 15 SE11 BT 0
2 15 SE11 BT 0
3 15 SE11 BT 0
4 15 SE11 BT 0
5 15 SE11 BT 0
6 15 SE11 BT 0
7 15 SE11 BT 0
8 15 SE11 BT 0
9 15 SE11 BT 0
10 15 SE11 BT 0
11 15 SE11 BT 0
12 15 SE11 BT 0
13 15 SE11 BT 0
14 15 SE11 BT 21.32
15 15 SE11 BT 0
16 15 SE11 BT 0
17 15 SE11 BT 0
1 16 SE11 BT 0
2 16 SE11 BT 0
3 16 SE11 BT 0
4 16 SE11 BT 0
5 16 SE11 BT 0
6 16 SE11 BT 0
7 16 SE11 BT 0
8 16 SE11 BT 0
9 16 SE11 BT 0
10 16 SE11 BT 0
11 16 SE11 BT 0
12 16 SE11 BT 0
13 16 SE11 BT 0
14 16 SE11 BT 0
15 16 SE11 BT 21.32
16 16 SE11 BT 0
17 16 SE11 BT 0
1 1 SE12 BT 13467.12
2 1 SE12 BT 0
3 1 SE12 BT 0
4 1 SE12 BT 0
5 1 SE12 BT 0
6 1 SE12 BT 0
7 1 SE12 BT 0
8 1 SE12 BT 0
9 1 SE12 BT 0
10 1 SE12 BT 0
11 1 SE12 BT 0
12 1 SE12 BT 0
13 1 SE12 BT 0
14 1 SE12 BT 0
15 1 SE12 BT 0
16 1 SE12 BT 0
17 1 SE12 BT 0
1 2 SE12 BT 0
2 2 SE12 BT 0
3 2 SE12 BT 13467.12
4 2 SE12 BT 0
5 2 SE12 BT 0
6 2 SE12 BT 0
7 2 SE12 BT 0
8 2 SE12 BT 0
9 2 SE12 BT 0
10 2 SE12 BT 0
11 2 SE12 BT 0
12 2 SE12 BT 0
13 2 SE12 BT 0
14 2 SE12 BT 0
15 2 SE12 BT 0
16 2 SE12 BT 0
17 2 SE12 BT 0
1 3 SE12 BT 0
2 3 SE12 BT 0
3 3 SE12 BT 0
4 3 SE12 BT 19637.83
5 3 SE12 BT 0
6 3 SE12 BT 0
7 3 SE12 BT 0
8 3 SE12 BT 0
9 3 SE12 BT 0
10 3 SE12 BT 0
11 3 SE12 BT 0
12 3 SE12 BT 0
13 3 SE12 BT 0
14 3 SE12 BT 0
15 3 SE12 BT 0
16 3 SE12 BT 0
17 3 SE12 BT 0
1 4 SE12 BT 0
2 4 SE12 BT 0
3 4 SE12 BT 0
4 4 SE12 BT 0
5 4 SE12 BT 19637.83
6 4 SE12 BT 0
7 4 SE12 BT 0
8 4 SE12 BT 0
9 4 SE12 BT 0
10 4 SE12 BT 0
11 4 SE12 BT 0
12 4 SE12 BT 0
13 4 SE12 BT 0
14 4 SE12 BT 0
15 4 SE12 BT 0
16 4 SE12 BT 0
17 4 SE12 BT 0
1 5 SE12 BT 0
2 5 SE12 BT 0
3 5 SE12 BT 0
4 5 SE12 BT 0
5 5 SE12 BT 0
6 5 SE12 BT 0
7 5 SE12 BT 13802.69
8 5 SE12 BT 0
9 5 SE12 BT 0
10 5 SE12 BT 0
11 5 SE12 BT 0
12 5 SE12 BT 0
13 5 SE12 BT 0
14 5 SE12 BT 0
15 5 SE12 BT 0
16 5 SE12 BT 0
17 5 SE12 BT 0
1 6 SE12 BT 0
2 6 SE12 BT 0
3 6 SE12 BT 0
4 6 SE12 BT 0
5 6 SE12 BT 0
6 6 SE12 BT 0
7 6 SE12 BT 0
8 6 SE12 BT 13802.69
9 6 SE12 BT 0
10 6 SE12 BT 0
11 6 SE12 BT 0
12 6 SE12 BT 0
13 6 SE12 BT 0
14 6 SE12 BT 0
15 6 SE12 BT 0
16 6 SE12 BT 0
17 6 SE12 BT 0
1 7 SE12 BT 0
2 7 SE12 BT 0
3 7 SE12 BT 0
4 7 SE12 BT 0
5 7 SE12 BT 0
6 7 SE12 BT 0
7 7 SE12 BT 0
8 7 SE12 BT 0
9 7 SE12 BT 6570.74
10 7 SE12 BT 0
11 7 SE12 BT 0
12 7 SE12 BT 0
13 7 SE12 BT 0
14 7 SE12 BT 0
15 7 SE12 BT 0
16 7 SE12 BT 0
17 7 SE12 BT 0
1 8 SE12 BT 0
2 8 SE12 BT 0
3 8 SE12 BT 0
4 8 SE12 BT 0
5 8 SE12 BT 0
6 8 SE12 BT 0
7 8 SE12 BT 0
8 8 SE12 BT 0
9 8 SE12 BT 0
10 8 SE12 BT 6570.74
11 8 SE12 BT 0
12 8 SE12 BT 0
13 8 SE12 BT 0
14 8 SE12 BT 0
15 8 SE12 BT 0
16 8 SE12 BT 0
17 8 SE12 BT 0
1 9 SE12 BT 0
2 9 SE12 BT 0
3 9 SE12 BT 0
4 9 SE12 BT 0
5 9 SE12 BT 0
6 9 SE12 BT 0
7 9 SE12 BT 0
8 9 SE12 BT 0
9 9 SE12 BT 0
10 9 SE12 BT 2702.68
11 9 SE12 BT 0
12 9 SE12 BT 0
13 9 SE12 BT 0
14 9 SE12 BT 0
15 9 SE12 BT 0
16 9 SE12 BT 0
17 9 SE12 BT 0
1 10 SE12 BT 0
2 10 SE12 BT 0
3 10 SE12 BT 0
4 10 SE12 BT 0
5 10 SE12 BT 0
6 10 SE12 BT 0
7 10 SE12 BT 0
8 10 SE12 BT 0
9 10 SE12 BT 0
10 10 SE12 BT 0
11 10 SE12 BT 2702.68
12 10 SE12 BT 0
13 10 SE12 BT 0
14 10 SE12 BT 0
15 10 SE12 BT 0
16 10 SE12 BT 0
17 10 SE12 BT 0
1 11 SE12 BT 0
2 11 SE12 BT 0
3 11 SE12 BT 0
4 11 SE12 BT 0
5 11 SE12 BT 0
6 11 SE12 BT 0
7 11 SE12 BT 0
8 11 SE12 BT 0
9 11 SE12 BT 0
10 11 SE12 BT 0
11 11 SE12 BT 0
12 11 SE12 BT 193.4
13 11 SE12 BT 0
14 11 SE12 BT 0
15 11 SE12 BT 0
16 11 SE12 BT 0
17 11 SE12 BT 0
1 12 SE12 BT 0
2 12 SE12 BT 0
3 12 SE12 BT 0
4 12 SE12 BT 0
5 12 SE12 BT 0
6 12 SE12 BT 0
7 12 SE12 BT 0
8 12 SE12 BT 0
9 12 SE12 BT 0
10 12 SE12 BT 0
11 12 SE12 BT 0
12 12 SE12 BT 0
13 12 SE12 BT 193.4
14 12 SE12 BT 0
15 12 SE12 BT 0
16 12 SE12 BT 0
17 12 SE12 BT 0
1 13 SE12 BT 0
2 13 SE12 BT 0
3 13 SE12 BT 0
4 13 SE12 BT 0
5 13 SE12 BT 0
6 13 SE12 BT 0
7 13 SE12 BT 0
8 13 SE12 BT 0
9 13 SE12 BT 0
10 13 SE12 BT 0
11 13 SE12 BT 0
12 13 SE12 BT 0
13 13 SE12 BT 0
14 13 SE12 BT 150.42
15 13 SE12 BT 0
16 13 SE12 BT 0
17 13 SE12 BT 0
1 14 SE12 BT 0
2 14 SE12 BT 0
3 14 SE12 BT 0
4 14 SE12 BT 0
5 14 SE12 BT 0
6 14 SE12 BT 0
7 14 SE12 BT 0
8 14 SE12 BT 0
9 14 SE12 BT 0
10 14 SE12 BT 0
11 14 SE12 BT 0
12 14 SE12 BT 0
13 14 SE12 BT 0
14 14 SE12 BT 150.42
15 14 SE12 BT 0
16 14 SE12 BT 0
17 14 SE12 BT 0
1 15 SE12 BT 0
2 15 SE12 BT 0
3 15 SE12 BT 0
4 15 SE12 BT 0
5 15 SE12 BT 0
6 15 SE12 BT 0
7 15 SE12 BT 0
8 15 SE12 BT 0
9 15 SE12 BT 0
10 15 SE12 BT 0
11 15 SE12 BT 0
12 15 SE12 BT 0
13 15 SE12 BT 0
14 15 SE12 BT 147.12
15 15 SE12 BT 0
16 15 SE12 BT 0
17 15 SE12 BT 0
1 16 SE12 BT 0
2 16 SE12 BT 0
3 16 SE12 BT 0
4 16 SE12 BT 0
5 16 SE12 BT 0
6 16 SE12 BT 0
7 16 SE12 BT 0
8 16 SE12 BT 0
9 16 SE12 BT 0
10 16 SE12 BT 0
11 16 SE12 BT 0
12 16 SE12 BT 0
13 16 SE12 BT 0
14 16 SE12 BT 0
15 16 SE12 BT 147.12
16 16 SE12 BT 0
17 16 SE12 BT 0
1 1 SE21 BT 24488.68
2 1 SE21 BT 0
3 1 SE21 BT 0
4 1 SE21 BT 0
5 1 SE21 BT 0
6 1 SE21 BT 0
7 1 SE21 BT 0
8 1 SE21 BT 0
9 1 SE21 BT 0
10 1 SE21 BT 0
11 1 SE21 BT 0
12 1 SE21 BT 0
13 1 SE21 BT 0
14 1 SE21 BT 0
15 1 SE21 BT 0
16 1 SE21 BT 0
17 1 SE21 BT 0
1 2 SE21 BT 0
2 2 SE21 BT 0
3 2 SE21 BT 24488.68
4 2 SE21 BT 0
5 2 SE21 BT 0
6 2 SE21 BT 0
7 2 SE21 BT 0
8 2 SE21 BT 0
9 2 SE21 BT 0
10 2 SE21 BT 0
11 2 SE21 BT 0
12 2 SE21 BT 0
13 2 SE21 BT 0
14 2 SE21 BT 0
15 2 SE21 BT 0
16 2 SE21 BT 0
17 2 SE21 BT 0
1 3 SE21 BT 0
2 3 SE21 BT 0
3 3 SE21 BT 0
4 3 SE21 BT 31790.46
5 3 SE21 BT 0
6 3 SE21 BT 0
7 3 SE21 BT 0
8 3 SE21 BT 0
9 3 SE21 BT 0
10 3 SE21 BT 0
11 3 SE21 BT 0
12 3 SE21 BT 0
13 3 SE21 BT 0
14 3 SE21 BT 0
15 3 SE21 BT 0
16 3 SE21 BT 0
17 3 SE21 BT 0
1 4 SE21 BT 0
2 4 SE21 BT 0
3 4 SE21 BT 0
4 4 SE21 BT 0
5 4 SE21 BT 31790.46
6 4 SE21 BT 0
7 4 SE21 BT 0
8 4 SE21 BT 0
9 4 SE21 BT 0
10 4 SE21 BT 0
11 4 SE21 BT 0
12 4 SE21 BT 0
13 4 SE21 BT 0
14 4 SE21 BT 0
15 4 SE21 BT 0
16 4 SE21 BT 0
17 4 SE21 BT 0
1 5 SE21 BT 0
2 5 SE21 BT 0
3 5 SE21 BT 0
4 5 SE21 BT 0
5 5 SE21 BT 0
6 5 SE21 BT 0
7 5 SE21 BT 31535.84
8 5 SE21 BT 0
9 5 SE21 BT 0
10 5 SE21 BT 0
11 5 SE21 BT 0
12 5 SE21 BT 0
13 5 SE21 BT 0
14 5 SE21 BT 0
15 5 SE21 BT 0
16 5 SE21 BT 0
17 5 SE21 BT 0
1 6 SE21 BT 0
2 6 SE21 BT 0
3 6 SE21 BT 0
4 6 SE21 BT 0
5 6 SE21 BT 0
6 6 SE21 BT 0
7 6 SE21 BT 0
8 6 SE21 BT 31535.84
9 6 SE21 BT 0
10 6 SE21 BT 0
11 6 SE21 BT 0
12 6 SE21 BT 0
13 6 SE21 BT 0
14 6 SE21 BT 0
15 6 SE21 BT 0
16 6 SE21 BT 0
17 6 SE21 BT 0
1 7 SE21 BT 0
2 7 SE21 BT 0
3 7 SE21 BT 0
4 7 SE21 BT 0
5 7 SE21 BT 0
6 7 SE21 BT 0
7 7 SE21 BT 0
8 7 SE21 BT 0
9 7 SE21 BT 15996.02
10 7 SE21 BT 0
11 7 SE21 BT 0
12 7 SE21 BT 0
13 7 SE21 BT 0
14 7 SE21 BT 0
15 7 SE21 BT 0
16 7 SE21 BT 0
17 7 SE21 BT 0
1 8 SE21 BT 0
2 8 SE21 BT 0
3 8 SE21 BT 0
4 8 SE21 BT 0
5 8 SE21 BT 0
6 8 SE21 BT 0
7 8 SE21 BT 0
8 8 SE21 BT 0
9 8 SE21 BT 0
10 8 SE21 BT 15996.02
11 8 SE21 BT 0
12 8 SE21 BT 0
13 8 SE21 BT 0
14 8 SE21 BT 0
15 8 SE21 BT 0
16 8 SE21 BT 0
17 8 SE21 BT 0
1 9 SE21 BT 0
2 9 SE21 BT 0
3 9 SE21 BT 0
4 9 SE21 BT 0
5 9 SE21 BT 0
6 9 SE21 BT 0
7 9 SE21 BT 0
8 9 SE21 BT 0
9 9 SE21 BT 0
10 9 SE21 BT 3954.58
11 9 SE21 BT 0
12 9 SE21 BT 0
13 9 SE21 BT 0
14 9 SE21 BT 0
15 9 SE21 BT 0
16 9 SE21 BT 0
17 9 SE21 BT 0
1 10 SE21 BT 0
2 10 SE21 BT 0
3 10 SE21 BT 0
4 10 SE21 BT 0
5 10 SE21 BT 0
6 10 SE21 BT 0
7 10 SE21 BT 0
8 10 SE21 BT 0
9 10 SE21 BT 0
10 10 SE21 BT 0
11 10 SE21 BT 3954.58
12 10 SE21 BT 0
13 10 SE21 BT 0
14 10 SE21 BT 0
15 10 SE21 BT 0
16 10 SE21 BT 0
17 10 SE21 BT 0
1 11 SE21 BT 0
2 11 SE21 BT 0
3 11 SE21 BT 0
4 11 SE21 BT 0
5 11 SE21 BT 0
6 11 SE21 BT 0
7 11 SE21 BT 0
8 11 SE21 BT 0
9 11 SE21 BT 0
10 11 SE21 BT 0
11 11 SE21 BT 0
12 11 SE21 BT 265.23
13 11 SE21 BT 0
14 11 SE21 BT 0
15 11 SE21 BT 0
16 11 SE21 BT 0
17 11 SE21 BT 0
1 12 SE21 BT 0
2 12 SE21 BT 0
3 12 SE21 BT 0
4 12 SE21 BT 0
5 12 SE21 BT 0
6 12 SE21 BT 0
7 12 SE21 BT 0
8 12 SE21 BT 0
9 12 SE21 BT 0
10 12 SE21 BT 0
11 12 SE21 BT 0
12 12 SE21 BT 0
13 12 SE21 BT 265.23
14 12 SE21 BT 0
15 12 SE21 BT 0
16 12 SE21 BT 0
17 12 SE21 BT 0
1 13 SE21 BT 0
2 13 SE21 BT 0
3 13 SE21 BT 0
4 13 SE21 BT 0
5 13 SE21 BT 0
6 13 SE21 BT 0
7 13 SE21 BT 0
8 13 SE21 BT 0
9 13 SE21 BT 0
10 13 SE21 BT 0
11 13 SE21 BT 0
12 13 SE21 BT 0
13 13 SE21 BT 0
14 13 SE21 BT 0
15 13 SE21 BT 0
16 13 SE21 BT 0
17 13 SE21 BT 0
1 14 SE21 BT 0
2 14 SE21 BT 0
3 14 SE21 BT 0
4 14 SE21 BT 0
5 14 SE21 BT 0
6 14 SE21 BT 0
7 14 SE21 BT 0
8 14 SE21 BT 0
9 14 SE21 BT 0
10 14 SE21 BT 0
11 14 SE21 BT 0
12 14 SE21 BT 0
13 14 SE21 BT 0
14 14 SE21 BT 0
15 14 SE21 BT 0
16 14 SE21 BT 0
17 14 SE21 BT 0
1 15 SE21 BT 0
2 15 SE21 BT 0
3 15 SE21 BT 0
4 15 SE21 BT 0
5 15 SE21 BT 0
6 15 SE21 BT 0
7 15 SE21 BT 0
8 15 SE21 BT 0
9 15 SE21 BT 0
10 15 SE21 BT 0
11 15 SE21 BT 0
12 15 SE21 BT 0
13 15 SE21 BT 0
14 15 SE21 BT 0
15 15 SE21 BT 0
16 15 SE21 BT 0
17 15 SE21 BT 0
1 16 SE21 BT 0
2 16 SE21 BT 0
3 16 SE21 BT 0
4 16 SE21 BT 0
5 16 SE21 BT 0
6 16 SE21 BT 0
7 16 SE21 BT 0
8 16 SE21 BT 0
9 16 SE21 BT 0
10 16 SE21 BT 0
11 16 SE21 BT 0
12 16 SE21 BT 0
13 16 SE21 BT 0
14 16 SE21 BT 0
15 16 SE21 BT 0
16 16 SE21 BT 0
17 16 SE21 BT 0
1 1 SE22 BT 6372.54
2 1 SE22 BT 0
3 1 SE22 BT 0
4 1 SE22 BT 0
5 1 SE22 BT 0
6 1 SE22 BT 0
7 1 SE22 BT 0
8 1 SE22 BT 0
9 1 SE22 BT 0
10 1 SE22 BT 0
11 1 SE22 BT 0
12 1 SE22 BT 0
13 1 SE22 BT 0
14 1 SE22 BT 0
15 1 SE22 BT 0
16 1 SE22 BT 0
17 1 SE22 BT 0
1 2 SE22 BT 0
2 2 SE22 BT 0
3 2 SE22 BT 6372.54
4 2 SE22 BT 0
5 2 SE22 BT 0
6 2 SE22 BT 0
7 2 SE22 BT 0
8 2 SE22 BT 0
9 2 SE22 BT 0
10 2 SE22 BT 0
11 2 SE22 BT 0
12 2 SE22 BT 0
13 2 SE22 BT 0
14 2 SE22 BT 0
15 2 SE22 BT 0
16 2 SE22 BT 0
17 2 SE22 BT 0
1 3 SE22 BT 0
2 3 SE22 BT 0
3 3 SE22 BT 0
4 3 SE22 BT 8272.64
5 3 SE22 BT 0
6 3 SE22 BT 0
7 3 SE22 BT 0
8 3 SE22 BT 0
9 3 SE22 BT 0
10 3 SE22 BT 0
11 3 SE22 BT 0
12 3 SE22 BT 0
13 3 SE22 BT 0
14 3 SE22 BT 0
15 3 SE22 BT 0
16 3 SE22 BT 0
17 3 SE22 BT 0
1 4 SE22 BT 0
2 4 SE22 BT 0
3 4 SE22 BT 0
4 4 SE22 BT 0
5 4 SE22 BT 8272.64
6 4 SE22 BT 0
7 4 SE22 BT 0
8 4 SE22 BT 0
9 4 SE22 BT 0
10 4 SE22 BT 0
11 4 SE22 BT 0
12 4 SE22 BT 0
13 4 SE22 BT 0
14 4 SE22 BT 0
15 4 SE22 BT 0
16 4 SE22 BT 0
17 4 SE22 BT 0
1 5 SE22 BT 0
2 5 SE22 BT 0
3 5 SE22 BT 0
4 5 SE22 BT 0
5 5 SE22 BT 0
6 5 SE22 BT 0
7 5 SE22 BT 8206.38
8 5 SE22 BT 0
9 5 SE22 BT 0
10 5 SE22 BT 0
11 5 SE22 BT 0
12 5 SE22 BT 0
13 5 SE22 BT 0
14 5 SE22 BT 0
15 5 SE22 BT 0
16 5 SE22 BT 0
17 5 SE22 BT 0
1 6 SE22 BT 0
2 6 SE22 BT 0
3 6 SE22 BT 0
4 6 SE22 BT 0
5 6 SE22 BT 0
6 6 SE22 BT 0
7 6 SE22 BT 0
8 6 SE22 BT 8206.38
9 6 SE22 BT 0
10 6 SE22 BT 0
11 6 SE22 BT 0
12 6 SE22 BT 0
13 6 SE22 BT 0
14 6 SE22 BT 0
15 6 SE22 BT 0
16 6 SE22 BT 0
17 6 SE22 BT 0
1 7 SE22 BT 0
2 7 SE22 BT 0
3 7 SE22 BT 0
4 7 SE22 BT 0
5 7 SE22 BT 0
6 7 SE22 BT 0
7 7 SE22 BT 0
8 7 SE22 BT 0
9 7 SE22 BT 4162.55
10 7 SE22 BT 0
11 7 SE22 BT 0
12 7 SE22 BT 0
13 7 SE22 BT 0
14 7 SE22 BT 0
15 7 SE22 BT 0
16 7 SE22 BT 0
17 7 SE22 BT 0
1 8 SE22 BT 0
2 8 SE22 BT 0
3 8 SE22 BT 0
4 8 SE22 BT 0
5 8 SE22 BT 0
6 8 SE22 BT 0
7 8 SE22 BT 0
8 8 SE22 BT 0
9 8 SE22 BT 0
10 8 SE22 BT 4162.55
11 8 SE22 BT 0
12 8 SE22 BT 0
13 8 SE22 BT 0
14 8 SE22 BT 0
15 8 SE22 BT 0
16 8 SE22 BT 0
17 8 SE22 BT 0
1 9 SE22 BT 0
2 9 SE22 BT 0
3 9 SE22 BT 0
4 9 SE22 BT 0
5 9 SE22 BT 0
6 9 SE22 BT 0
7 9 SE22 BT 0
8 9 SE22 BT 0
9 9 SE22 BT 0
10 9 SE22 BT 1029.08
11 9 SE22 BT 0
12 9 SE22 BT 0
13 9 SE22 BT 0
14 9 SE22 BT 0
15 9 SE22 BT 0
16 9 SE22 BT 0
17 9 SE22 BT 0
1 10 SE22 BT 0
2 10 SE22 BT 0
3 10 SE22 BT 0
4 10 SE22 BT 0
5 10 SE22 BT 0
6 10 SE22 BT 0
7 10 SE22 BT 0
8 10 SE22 BT 0
9 10 SE22 BT 0
10 10 SE22 BT 0
11 10 SE22 BT 1029.08
12 10 SE22 BT 0
13 10 SE22 BT 0
14 10 SE22 BT 0
15 10 SE22 BT 0
16 10 SE22 BT 0
17 10 SE22 BT 0
1 11 SE22 BT 0
2 11 SE22 BT 0
3 11 SE22 BT 0
4 11 SE22 BT 0
5 11 SE22 BT 0
6 11 SE22 BT 0
7 11 SE22 BT 0
8 11 SE22 BT 0
9 11 SE22 BT 0
10 11 SE22 BT 0
11 11 SE22 BT 0
12 11 SE22 BT 69.02
13 11 SE22 BT 0
14 11 SE22 BT 0
15 11 SE22 BT 0
16 11 SE22 BT 0
17 11 SE22 BT 0
1 12 SE22 BT 0
2 12 SE22 BT 0
3 12 SE22 BT 0
4 12 SE22 BT 0
5 12 SE22 BT 0
6 12 SE22 BT 0
7 12 SE22 BT 0
8 12 SE22 BT 0
9 12 SE22 BT 0
10 12 SE22 BT 0
11 12 SE22 BT 0
12 12 SE22 BT 0
13 12 SE22 BT 69.02
14 12 SE22 BT 0
15 12 SE22 BT 0
16 12 SE22 BT 0
17 12 SE22 BT 0
1 13 SE22 BT 0
2 13 SE22 BT 0
3 13 SE22 BT 0
4 13 SE22 BT 0
5 13 SE22 BT 0
6 13 SE22 BT 0
7 13 SE22 BT 0
8 13 SE22 BT 0
9 13 SE22 BT 0
10 13 SE22 BT 0
11 13 SE22 BT 0
12 13 SE22 BT 0
13 13 SE22 BT 0
14 13 SE22 BT 0
15 13 SE22 BT 0
16 13 SE22 BT 0
17 13 SE22 BT 0
1 14 SE22 BT 0
2 14 SE22 BT 0
3 14 SE22 BT 0
4 14 SE22 BT 0
5 14 SE22 BT 0
6 14 SE22 BT 0
7 14 SE22 BT 0
8 14 SE22 BT 0
9 14 SE22 BT 0
10 14 SE22 BT 0
11 14 SE22 BT 0
12 14 SE22 BT 0
13 14 SE22 BT 0
14 14 SE22 BT 0
15 14 SE22 BT 0
16 14 SE22 BT 0
17 14 SE22 BT 0
1 15 SE22 BT 0
2 15 SE22 BT 0
3 15 SE22 BT 0
4 15 SE22 BT 0
5 15 SE22 BT 0
6 15 SE22 BT 0
7 15 SE22 BT 0
8 15 SE22 BT 0
9 15 SE22 BT 0
10 15 SE22 BT 0
